Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
140-49-2,2,4&5,83.03184545,4,45,375036.2387,3094014.921,85.72950719,27.96536011,3698,SINDHUPALCHOK,3,694.17,482.1068484,24.20143454,21.11848872,194.329851,132.4903023,48,68,2014,2019,1796
140-49-3,2,4&5,65.91298926,4,45,375036.2387,3094164.921,85.72949133,27.96671388,3637,SINDHUPALCHOK,3,262.88,228.3431336,18.38793198,17.67831545,154.2644429,120.3521735,52,72,2014,2019,1792
140-49-4,2,4&5,53.61466243,4,45,375336.2387,3093864.921,85.73257246,27.96403447,3599,SINDHUPALCHOK,3,1448.38,2455.407094,21.86353441,27.60926944,125.4811248,116.3346412,64,66,2014,2019,1792
140-49-5,2,4&5,96.77021108,4,45,375336.2387,3094014.921,85.73255664,27.96538824,3536,SINDHUPALCHOK,3,245.41,231.2167645,28.38494352,25.66711962,226.4834727,217.0524962,46,66,2014,2019,1793
142-34-2,2,3,9.798343954,3,45,381583.6742,3033839.086,85.80200698,27.42282919,825,SINDHULI,3,563.02,1110.105728,8.858184908,10.35816406,22.93229436,35.83448678,26,20,2013,2019,2240
142-34-4,2,3,48.9875828,3,45,381883.6742,3033689.086,85.80505605,27.42150133,1073,SINDHULI,3,217.78,230.1115219,14.73069398,14.51590903,114.6517895,111.8966546,48,45,2013,2019,2238
142-34-5,2,3,17.70679416,3,45,381883.6742,3033839.086,85.80504148,27.42285524,1096,SINDHULI,3,65.66,222.8169203,4.514889318,5.40046875,41.44143315,55.32346351,33,10,2013,2019,2238
142-47-1,2,4&5,52.2455749,4,45,382840.5379,3085673.894,85.80966333,27.8907884,2417,SINDHUPALCHOK,3,976.84,1430.6261,14.84873424,19.97798906,122.2768774,153.8836003,42,52,2014,2019,1859
142-47-2,2,4&5,18.57426409,4,45,382840.5379,3085823.894,85.80964852,27.89214222,2337,SINDHUPALCHOK,3,15.92,15.91549431,4.090957826,3.9764,43.4716819,36.29466114,55,31,2014,2019,1860
142-47-3,2,4&5,50.96238112,4,45,382840.5379,3085973.894,85.80963371,27.89349604,2288,SINDHUPALCHOK,3,555.06,306.3732655,13.36061321,9.984853125,119.2736579,80.12327408,38,28,2014,2019,1860
142-47-5,2,4&5,45.86432445,4,45,383140.5379,3085823.894,85.81269602,27.89216851,2468,SINDHUPALCHOK,3,3033.47,2458.059677,23.57898529,19.19505156,107.342036,84.84655073,46,51,2014,2019,1861
142-47-6,2,4&5,12.70028778,4,45,383140.5379,3085973.894,85.81268124,27.89352233,2401,SINDHUPALCHOK,3,1840.2,1392.605752,6.707769182,5.56671875,29.72407777,29.72162844,26,18,2014,2019,1862
143-27-1,2,2,15.11347558,2,45,384905.7328,3005600.584,85.83826612,27.16822342,679,SINDHULI,3,1002.66,15.91549431,5.368151946,1.78135625,35.37196414,16.65187718,53,25,2012,2017,1820
143-27-2,2,2,32.87352446,2,45,384905.7328,3005750.584,85.83825211,27.1695774,647,SINDHULI,3,1281.41,31.83098862,10.15491794,4.1269375,76.93803598,47.0401782,75,33,2012,2017,1819
143-27-3,2,2,93.34046192,2,45,384905.7328,3005900.584,85.83823809,27.17093137,664,SINDHULI,3,251.6,299.520761,20.80183723,20.74886806,218.4564002,204.3502149,50,66,2012,2017,1705
143-27-5,2,2,87.46895494,2,45,385205.7328,3005750.584,85.84127977,27.16960244,684,SINDHULI,3,543.83,494.0434692,20.15172892,18.11639531,204.7145754,166.6027431,60,79,2012,2017,1704
143-32-1,2,3,265.9561546,3,45,385389.1419,3025594.741,85.84127546,27.34873924,2210,SINDHULI,3,978.5,#N/A,52.89820669,#N/A,622.4505747,#N/A,66,#N/A,#N/A,2020,#N/A
143-32-2,2,3,213.1020059,3,45,385389.1419,3025744.741,85.84126137,27.35009318,2198,SINDHULI,3,629.67,#N/A,53.51761232,#N/A,498.7493755,#N/A,95,#N/A,#N/A,2020,#N/A
143-32-3,2,3,104.000934,3,45,385389.1419,3025894.741,85.84124728,27.35144712,2145,SINDHULI,3,688.2,#N/A,32.39829172,#N/A,243.4064413,#N/A,92,#N/A,#N/A,2020,#N/A
143-32-4,2,3,185.6225835,3,45,385689.1419,3025594.741,85.84430798,27.34876436,2089,SINDHULI,3,1529.13,#N/A,41.51364231,#N/A,434.4358336,#N/A,88,#N/A,#N/A,2020,#N/A
143-32-5,2,3,115.8903382,3,45,385689.1419,3025744.741,85.84429393,27.35011831,2111,SINDHULI,3,1362,#N/A,41.89147424,#N/A,271.2327064,#N/A,97,#N/A,#N/A,2020,#N/A
143-32-6,2,3,122.6532836,3,45,385689.1419,3025894.741,85.84427988,27.35147226,2096,SINDHULI,3,1121.67,#N/A,43.17306975,#N/A,287.0608765,#N/A,86,#N/A,#N/A,2020,#N/A
143-48-6,2,4&5,1.442834586,4,45,387236.0511,3089876.044,85.85391446,27.92909371,2408,SINDHUPALCHOK,3,14.15,262.8267046,0.593021284,4.507890625,3.376846904,19.84997114,8,48,2014,2019,1870
144-28-1,2,2,25.0609172,2,45,389001.246,3009502.734,85.87924674,27.20378287,575,SINDHULI,3,286.73,257.3004913,7.49434505,7.115394097,58.65321046,55.66874896,40,46,2012,2017,1702
144-28-2,2,2,70.50601269,2,45,389001.246,3009652.734,85.8792332,27.20513686,574,SINDHULI,3,693.28,1043.128023,19.76862379,31.58663108,165.0140723,334.2480555,64,79,2012,2017,1703
144-28-4,2,2,154.3247322,2,45,389301.246,3009502.734,85.88227537,27.20380705,602,SINDHULI,3,1085.18,1097.505962,32.42830306,29.89206667,361.1855433,340.140694,75,62,2012,2017,1703
144-28-5,2,2,91.59946691,2,45,389301.246,3009652.734,85.88226187,27.20516104,606,SINDHULI,3,244.74,473.7070042,20.67672459,23.41390642,214.3817311,267.2321997,50,64,2014,2017,1137
144-28-6,2,2,55.81531018,2,45,389301.246,3009802.734,85.88224836,27.20651503,603,SINDHULI,3,1058.38,77.80908329,14.94790346,10.38883125,130.631577,106.4284321,70,59,2012,2017,1702
144-33-1,2,3,8.206295467,3,45,389484.6552,3029496.891,85.88232116,27.38429896,906,SINDHULI,3,845.5,#N/A,3.993343264,#N/A,19.20622343,#N/A,64,#N/A,#N/A,2020,#N/A
144-33-3,2,3,18.63184145,3,45,389484.6552,3029796.891,85.88229394,27.38700688,881,SINDHULI,3,335.35,#N/A,6.542489608,#N/A,43.60643743,#N/A,46,#N/A,#N/A,2020,#N/A
144-38-2,2,3,34.62919491,3,45,389968.0643,3049641.048,85.88538085,27.56616463,1734,RAMECHHAP,3,1541.86,447.6232774,14.42364686,3.784296875,81.04705191,16.39411867,75,66,2013,2019,2250
144-48-1,2,4&5,45.59185292,4,45,390934.8825,3089479.362,85.89153853,27.92582106,2313,SINDHUPALCHOK,3,1885.8,#N/A,21.38636719,#N/A,106.7043366,#N/A,42,#N/A,#N/A,2021,#N/A
